energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,STD_of_brown_energy_used,AVERAGE_of_green_energy_used,STD_of_green_energy_used,AVERAGE_of_makespan,STD_of_makespan,AVERAGE_of_workflow_stretch,STD_of_workflow_stretch
trace-1,uniform,bwa,0.500000,2,right-left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,2,right-left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,2,right-left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,2,right-left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,4,left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,4,left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,4,left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,4,left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,4,none,energy,0.000000,0.000000,112764.374313,26661.603569,21837.300000,977.095475,20660.800000,1049.612394
trace-1,uniform,bwa,0.500000,4,none,power,0.000000,0.000000,112764.374313,26661.603569,17341.800000,3570.860052,15929.400000,3720.527955
trace-1,uniform,bwa,0.500000,4,none,runtime,0.000000,0.000000,112764.374313,26661.603569,21612.400000,1101.034080,20458.000000,1066.733227
trace-1,uniform,bwa,0.500000,4,none,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,17340.300000,1309.459180,17339.300000,1309.459180
trace-1,uniform,bwa,0.500000,4,right-left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,4,right-left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,4,right-left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,4,right-left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,8,left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,8,left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,8,left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,8,left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,8,none,energy,0.000000,0.000000,112764.374313,26661.603569,37186.900000,1871.737485,35560.300000,1660.738929
trace-1,uniform,bwa,0.500000,8,none,power,0.000000,0.000000,112764.374313,26661.603569,26622.600000,9729.347371,24591.700000,9380.880876
trace-1,uniform,bwa,0.500000,8,none,runtime,0.000000,0.000000,112764.374313,26661.603569,36694.600000,2282.132054,35123.500000,1945.487614
trace-1,uniform,bwa,0.500000,8,none,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,30765.900000,1654.663742,30764.900000,1654.663742
trace-1,uniform,bwa,0.500000,8,right-left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,8,right-left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,8,right-left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.500000,8,right-left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.800000,2,left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.800000,2,left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.800000,2,left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.800000,2,left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.800000,2,none,energy,0.000000,0.000000,112764.374313,26661.603569,15933.300000,1737.804749,15932.300000,1737.804749
trace-1,uniform,bwa,0.800000,2,none,power,0.000000,0.000000,112764.374313,26661.603569,13503.700000,3360.697912,12602.700000,3457.752194
