experiment,workflow,energy_trace,shift_mode,c_value,deadline_factor,deadline,task_ordering,scheduling_hash,power_distribution,min_makespan,makespan,workflow_stretch,brown_energy_used,green_energy_used,total_energy,green_energy_not_used,max_active_tasks,active_tasks_mean,active_tasks_std,number_of_tasks,scheduling_violations
J9_E132,soykb,trace-1,right-left,0,1,22698,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,6.339251790166145e-07,2820948.0391531847,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E133,soykb,trace-1,right-left,0.2,1,22698,energy,4854060184188345640,uniform,22698,21378,21378,2.0011112766837869e-07,2820948.0391517957,2820948.039151996,6513791051.960848,345,155.66916588566073,102.90068900137834,993,0
J9_E134,soykb,trace-1,right-left,0.2,1,22698,power,-8397901163476094082,uniform,22698,21849,21849,7.015886538397353e-07,2820948.0391531195,2820948.0391538213,6513791051.960848,312,152.67894239848914,96.59534424439552,993,0
J9_E135,soykb,trace-1,right-left,0.2,1,22698,runtime,4635774734463997113,uniform,22698,21378,21378,5.667415869936576e-07,2820948.0391532523,2820948.039153819,6513791051.960848,321,153.57670454545453,103.74729500011355,993,0
J9_E136,soykb,trace-1,right-left,0.2,1,22698,runtime_ascending,8493839277985617730,uniform,22698,21566,21566,5.940949066030043e-07,2820948.039153224,2820948.039153818,6513791051.960848,306,157.90108803165182,107.59866809144359,993,0
J9_E137,soykb,trace-1,right-left,0.5,1,22698,energy,-5847752771303909136,uniform,22698,21378,21378,6.646376782271091e-07,2820948.039153155,2820948.0391538194,6513791051.960848,382,159.22979552093477,119.13109626674486,993,0
J9_E138,soykb,trace-1,right-left,0.5,1,22698,power,1226156821204517210,uniform,22698,21890,21890,0,2820948.0391519996,2820948.0391519996,6513791051.960848,317,149.89555125725337,100.84186157072449,993,0
J9_E139,soykb,trace-1,right-left,0.5,1,22698,runtime,-8100390479631663630,uniform,22698,21378,21378,5.667415869936576e-07,2820948.0391532434,2820948.03915381,6513791051.960848,366,158.41461006910168,118.07390272919137,993,0
J9_E140,soykb,trace-1,right-left,0.5,1,22698,runtime_ascending,1830147050466621547,uniform,22698,22172,22172,4.2901522334659603e-07,2820948.0391533864,2820948.0391538152,6513791051.960848,329,146.56196581196582,111.06322526560639,993,0
J9_E141,soykb,trace-1,right-left,0.8,1,22698,energy,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
