energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,AVERAGE_of_green_energy_used,AVERAGE_of_makespan,AVERAGE_of_workflow_stretch
trace-1,gaussian,cycles,0,4,left,runtime,26379.6685447806,2691978.50923994,20550,20550
trace-1,gaussian,cycles,0,4,left,runtime_ascending,41090.2903571231,2677267.88742741,20550,20550
trace-1,gaussian,cycles,0,4,none,energy,27694.2167482986,2690663.96103587,20550,20550
trace-1,gaussian,cycles,0,4,none,power,60250.6962395444,2658107.48154288,20580,20580
trace-1,gaussian,cycles,0,4,none,runtime,29457.526496314,2688900.6512884,20550,20550
trace-1,gaussian,cycles,0,4,none,runtime_ascending,92056.5681141162,2626301.60967051,20550,20550
trace-1,gaussian,cycles,0,4,right-left,energy,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,4,right-left,power,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,4,right-left,runtime,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,4,right-left,runtime_ascending,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,8,left,energy,25074.56217439,2693283.61560996,20550,20550
trace-1,gaussian,cycles,0,8,left,power,24782.7280351184,2693575.4497496,20580,20580
trace-1,gaussian,cycles,0,8,left,runtime,26379.6685447806,2691978.50923994,20550,20550
trace-1,gaussian,cycles,0,8,left,runtime_ascending,41090.2903571231,2677267.88742741,20550,20550
trace-1,gaussian,cycles,0,8,none,energy,27694.2167482986,2690663.96103587,20550,20550
trace-1,gaussian,cycles,0,8,none,power,60250.6962395444,2658107.48154288,20580,20580
trace-1,gaussian,cycles,0,8,none,runtime,29457.526496314,2688900.6512884,20550,20550
trace-1,gaussian,cycles,0,8,none,runtime_ascending,92056.5681141162,2626301.60967051,20550,20550
trace-1,gaussian,cycles,0,8,right-left,energy,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,8,right-left,power,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,8,right-left,runtime,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0,8,right-left,runtime_ascending,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0.5,2,left,energy,0.0000000276,2718358.17778186,26630.4,26630.4
trace-1,gaussian,cycles,0.5,2,left,power,0.0000004985,2718358.17778203,22901.4,22901.4
